title;label;year;icon;tags;shortDescription;longDescription;colorSet
Jan Żiżka;Żiżka;1420;person;czech,church,civilization,person,leader;1420 - Zostaje pierwszym hetmanem taborytów; Lata 1420/21 to ciągle walki,przywódca i strateg taborytów w czasie wojen husyckich. Czeski bohater narodowy.; 
Michel de Nostredame;Nostradamus;1555;person;france,civilization,person;1555 - Publikacja  Les Prophéties, zbioru 942 poetyckich czterowierszy rzekomo przepowiadających przyszłe wydarzenia. ;francuski aptekarz, astrolog i autor proroctw, okultysta, mistyk, kabalista, badacz wiedzy tajemnej, doradca królowej Francji, Katarzyny Medycejskiej.; 
Jan Gutenberg;Gutenberg;1445;scholar;germany,civilization,science,person;1440 albo 1450 - wykorzystanie ruchomej czcionki;niemiecki rzemieślnik, złotnik i drukarz, twórca pierwszej przemysłowej metody druku na świecie.; 
Saladin;Saladin;1174;crown;arab,civilization,person,leader;1174-1193 - lata panowania Sułtana, początek dynasti Ajjubidów;sułtan, założyciel dynastii Ajjubidów, panujący w latach 1174-1193.; 
Izabela I Kastylijska;Izabela Kastylijska;1479;crown;spain,civilization,crown,church,person,king;1479: Zjednoczenie Kastylii i Aragonii, tworząc potężne imperium hiszpańskie.;Do najważniejszych wydarzeń związanych z życiem i panowaniem Izabeli Kastylijskiej należą: małżeństwo z Ferdynandem Aragońskim (1469) i unia personalna Kastylii z Aragonią (1479), ustanowienie w Kastylii inkwizycji (1478-1480), zdobycie Grenady i tym samym zakończenie wielowiekowej rekonkwisty (1492), oraz wsparcie wypraw Krzysztofa Kolumba przez Atlantyk (1492-1504), które doprowadziły do odkrycia Nowego Świata i uczyniły wkrótce Hiszpanią jednym z największych imperiów kolonialnych w historii.; 
Eleonora Akwitańska;Eleonora;1137;crown;france,england,civilization,crown,person,king;1137: Jedna z najpotężniejszych kobiet średniowiecza, królowa Francji i Anglii.; królowa Francji i Anglii. Brała udział w drugiej krucjacie. Była jedną z najmożniejszych i najbardziej wpływowych kobiet Europy w średniowieczu, jedyna kobietą, która była zarówno królową Francji, jak i królową Anglii. ; 
Jeanne d'Arc;Joanna d'Ark;1429;person;france,england,civilization,church,person,leader;1429: Prowadzi Francuzów do zwycięstwa w bitwie pod Orleanem, stając się symbolem oporu.;francuska bohaterka narodowa, święta Kościoła katolickiego, patronka Francji. Podczas wojny stuletniej walnie przyczyniła się do kilku ważnych zwycięstw armii francuskiej, twierdząc, że działa kierowana przez Boga.;
Michał Anioł;Michał Anioł;1508;person;italy,cywilization,church,art,person;1508: Rozpoczyna malowanie fresków na sklepieniu Kaplicy Sykstyńskiej.;włoski rzeźbiarz, malarz, poeta i architekt epoki odrodzenia;
Fryderyk Barbarossa;Barbarossa;1155;crown;germany,italy,civilization,crown,person,king;1155: Koronowany na króla Niemiec, rozpoczynając okres potęgi Świętego Cesarstwa Rzymskiego.; The Holy Roman Emperor;
Krzysztof Kolumb;Kolumb;1492;map;italy,spain,civilization,exploration,person;1492: Dociera do Ameryki, rozpoczynając erę kolonizacji.;włoski żeglarz, podróżnik i nawigator, tercjarz franciszkański;
Genghis Khan;Genghis Khan;1206;crown;asia,mongolia,civilization,crown,person,leader;1206: Zjednocza mongolskie plemiona, tworząc największe imperium lądowe w historii.;chan Mongołów i założyciel imperium mongolskiego. ;
Galileusz;Galileo Galilei;1610;scholar;italy,civilization,science,person;1610: Obserwuje księżyce Jowisza za pomocą teleskopu, potwierdzając teorię heliocentryczną.;uczony: astronom, astrolog, matematyk, fizyk, filozof, inżynier-wynalazca;
Napoleon;Napoleon Bonaparte;1804;crown;france,civilization,person,leader;1804: Koronuje się na cesarza Francuzów, rozpoczynając erę napoleońską.;francuski wojskowy i polityk pochodzenia włoskiego, głowa państwa ;
William Szekspir;Szekspir;1598;culture;england,civilization,person,culture;1598: Premiera sztuki "Romeo i Julia" na londyńskiej scenie.;angielski poeta, dramaturg, aktor. Jeden z najwybitniejszych pisarzy literatury angielskiej oraz reformator teatru;
Isaac Newton;Newton;1665;scholar;england,civilization,person,science;1665: Uzyskuje tytuł naukowy, z powodu epidemi wraca na wieś i robi dużo nauki;angielski uczony: fizyk, astronom, matematyk, filozof, alchemik, biblista i historyk oraz urzędnik państwowy.;
Maksymilian Robespierre;Robespierre;1793;person;france,civilization,person,politician;1793: Staje się przewodniczącym Komitetu Ocalenia Publicznego, rozpoczynając okres terroru rewolucyjnego.;A French lawyer and politician who was a key figure in the French Revolution.;
James Cook;Cook;1768;map;england,civilization,person,exploration;1768: Rozpoczyna pierwszą wyprawę do Oceanii, odkrywając wiele wysp i terytoriów.;A British explorer, navigator, cartographer, and captain in the Royal Navy.-https://www.flaticon.com/free-icon/sailing-boat_7733442?term=ship&page=1&position=15&origin=tag&related_id=7733442
J.S. Bach;Bach;1722;culture;german,civilization,person,culture,music;1722: Obejmuje stanowisko kantora w kościele św. Tomasza w Lipsku, gdzie tworzy wiele swoich najważniejszych dzieł.;A German composer and musician of the Baroque period.;
Charles Darwin;Darwin;1859;scholar;england,civilization,person,science, biology;1859: Publikuje książkę "O powstawaniu gatunków", prezentując teorię ewolucji.;An English naturalist, geologist and biologist, famous for his contributions to the science of evolution.;
Antoni Gaudí;Gaudi;1882;culture;spain,civilization,person,culture,architect;1882: Rozpoczyna budowę Casa Vicens, swojego pierwszego znaczącego dzieła architektonicznego.;A Spanish architect known for his highly imaginative and elaborate style of Modernisme.;
Alfred Nobel;Nobel;1867;scholar;sweden,civilization,person,science,engineer,chemist;1867: Wynalazł dynamit, który zrewolucjonizuje przemysł górniczy i budowlany.;A Swedish chemist, engineer, and inventor, known for inventing dynamite.;
James Watt;Watt;1769;scholar;england,civilization,person,science,engineer,chemist;1769: Patentuje udoskonaloną maszynę parową, która odegra kluczową rolę w rewolucji przemysłowej.;A Scottish inventor, mechanical engineer, and chemist, famous for his improvements to the steam engine.;
Maria Teresa;Maria Teresa;1740;crown;austria,hungary,civilization,crown,person,king;1740: Obejmuje tron Austrii, rozpoczynając okres reform i modernizacji państwa.;Holy Roman Empress, Queen of Hungary and Bohemia, Archduchess of Austria.;
Katarzyna II;Katarzyna II;1762;crown;russia,civilization,crown,person,king;1762: Staje się cesarzową Rosji, rozpoczynając okres reform i ekspansji terytorialnej.;Empress of Russia from 1762 to 1796.;
George Washington Carver;George Carver;1896;scholar;usa,person,science;1896: Rozpoczyna pracę w Tuskegee Institute, gdzie prowadzi badania nad wykorzystaniem roślin strączkowych.;An American agricultural scientist and inventor.;
Karl Marx;Marks;1848;philosopher;german,person,philosophy,economy;1848: Publikuje Manifest komunistyczny, wykładając podstawy marksizmu.;German philosopher, economist, historian, sociologist, political theorist, journalist and revolutionary socialist.;
Charles de Gaulle;De Gaulie;1958;president;france,person,president,crown;1958: Wybrany na prezydenta Francji, rozpoczynając okres V Republiki.;A French general and statesman who led Free France during World War II and later became the president of France.;
Rachel Carson;Rachel Carson;1962;scholar;usa,person;1962: Publikuje książkę "Silent Spring", ostrzegając przed zagrożeniami związanymi z użyciem pestycydów.;An American marine biologist, author, and conservationist, whose book "Silent Spring" helped launch the environmental movement;
Mikhail Gorbachev;Gorbachev;1985;president;person,russia,leader;1985: Staje się przywódcą Związku Radzieckiego, rozpoczynając politykę perestrojki i glasnosti.;The last leader of the Soviet Union.;
Amelia Earhart;Amelia Earhart;1932;map;person,usa;1932: Staje się pierwszą kobietą, która samotnie przeleciała nad Atlantykiem.;An American aviation pioneer who was the first woman to fly solo across the Atlantic Ocean.;
Sitting Bull;Sitting Bull;1876;crown;person,usa;1876: Prowadzi Lakotów do zwycięstwa w bitwie pod Little Bighorn.;A Hunkpapa Lakota Sioux leader who led his people during the resistance to American government policies.;
Simón Bolívar;Simón Bolívar;1819;crown;person,america,president;1819 - Wybrany na Prezydenta Kolumbi, kluczowa postać w ruchu niepdległościowych spod Imperium Hiszpańskiego;A Venezuelan military and political leader who played a key role in the independence of several South American countries;
Susan B. Anthony;Susan B. Anthony;1848;person;person,usa;1848 - odbyły się  Rochester Women's Rights Convention, kluczowe wydarzenie w walce o prawa kobiet;An American social reformer and women's rights activist who played a pivotal role in the women's suffrage movement.;
J.R.R. Tolkien;Tolkien;1937;culture;person,england;1937 - Publikacja Hobbita;An English writer, poet, philologist, and university professor, best known for his fantasy works The Hobbit and The Lord of the Rings.;
Joseph Stalin;Stalin;1924;president;person,russia,leader;1924 - Dojście do władzy ZSRR jako Sekretarz generalny;Soviet politician, revolutionary, and political theorist who led the Soviet Union from 1924 until his death in 1953.;
Osama Bin Laden;Bin Laden;1988;president;arab,person,leader;1988 (Formation of al-Qaeda);;
Adolf Hitler;Hitler;1933;president;person,germany,leader;1933-1945 (Chancellor and Führer of Germany);;
Benjamin Franklin;Franklin;1776;scholar;person,usa,science;1776 (Declaration of Independence);;
James Clerk Maxwell;Maxwell;1865;scholar;person,england,science;1865 (Publication of A Dynamical Theory of the Electromagnetic Field);;
Rene Descartes;Descartes;1637;person;person,france,philosophy,science;1637 (Publication of Discourse on the Method);;
Johannes Kepler;Kepler;1609;scholar;person,german,science,astro;1609: Wydanie Astronomia nova, ktra zawiera pierwsze dwa prawa keplera;;
Mikołaj Kopernik;Kopernik;1543;scholar;person,poland,astro,science;1543 (Publication of De revolutionibus orbium coelestium) ;;
Alessandro Volta;Volta;1800;scholar;person,italy,science;1800 (Invention of the voltaic pile, the first chemical battery) ;;
Maria Curie Skodowska;Curie Skodowska;1898;scholar;person,poland,france,science,civilization;1898 (Discovery of radium and polonium) ;;
Mariene Dietrich;Mariene Dietrich;1930;culture;person,culture,germany,usa,civilization;1930 - premiera The Blue Angel, pocztek międzynarodowej sławy;;
Steve Jobs;Steve Jobs;1976;person;person,usa,company,civilization;1976 (Co-founded Apple Inc.) ;;
Nelson Mandela;Nelson Mandela;1993;president;person,rpa,president,nobel,civilization;1993 Nobel Peace Prize;;
Pierre de Couberin;Pierre de Couberin;1896;culture;person,france,culture,civilization;1896 (Revival of the modern Olympic Games);;
Ian Flemnig;Ian Flemnig;1953;culture;person,england,culture,civilization;1953 (Publication of Casino Royale);;
Mahatma Gandhi;Gandhi;1921;president;person,civilization,leader;1921: Assuming leadership of the Indian National Congress;;
Bill Gates;Bill Gates;1975;person;person,usa,company,civilization;1975 (Co-founded Microsoft);;
Winston Churchill;Churchill;1900;president;person,leader,civilization,england;1900 fist elect to be Member of Parliament, than1940-45 Prime minister;;
Albert Einstein;Einstein;1905;scholar;person,civilization,science,germany,switzerland;1905  Annus mirabilis - wydał 5 prac z fizyki;;
Charliee Chaplin;Chaplin;1914;culture;person,civilization,culture,england;1914 pierwszy film gdzie wcielił się charaktersystyczną kreacje "The trump", melonik, mały wąsik itp;;
Leonardo da Vinci;da Vinci;1480;scholar;italy,civilization,science,person;1480: Przenosi się do Mediolanu, gdzie pracuje dla Ludovica Sforzy.;Leonardo da Vinci, właściwie Leonardo di ser Piero da Vinci (ur. 15 kwietnia 1452 w Anchiano, zm. 2 maja 1519 w Clos Lucé), włoski renesansowy artysta i uczony: malarz, rzeźbiarz, architekt, inżynier, a także odkrywca, matematyk, anatom, wynalazca, geolog, filozof, muzyk, pisarz.;